epoch,qwk,curve,loss
66, 6.6910e-01,test,qwk
67, 6.7150e-01,test,qwk
68, 6.6422e-01,test,qwk
69, 6.6302e-01,test,qwk
70, 6.6734e-01,test,qwk
71, 6.7724e-01,test,qwk
72, 6.5996e-01,test,qwk
73, 6.3283e-01,test,qwk
74, 6.6862e-01,test,qwk
75, 6.5375e-01,test,qwk
76, 6.5242e-01,test,qwk
77, 6.8388e-01,test,qwk
78, 6.8273e-01,test,qwk
79, 6.1785e-01,test,qwk
80, 6.5394e-01,test,qwk
81, 6.7527e-01,test,qwk
82, 6.4325e-01,test,qwk
83, 6.5867e-01,test,qwk
84, 6.7119e-01,test,qwk
85, 7.1732e-01,test,qwk
86, 6.8507e-01,test,qwk
87, 6.7319e-01,test,qwk
88, 6.3182e-01,test,qwk
89, 6.8423e-01,test,qwk
90, 6.9405e-01,test,qwk
91, 6.9137e-01,test,qwk
92, 6.9096e-01,test,qwk
93, 6.4810e-01,test,qwk
94, 6.9846e-01,test,qwk
95, 6.3893e-01,test,qwk
96, 6.7674e-01,test,qwk
97, 6.8415e-01,test,qwk
98, 6.7805e-01,test,qwk
99, 7.0119e-01,test,qwk
100, 6.8540e-01,test,qwk
1, 3.2857e-01,test,log
2, 4.3924e-01,test,log
3, 4.8175e-01,test,log
4, 5.5937e-01,test,log
5, 4.5417e-01,test,log
6, 5.5781e-01,test,log
7, 4.9091e-01,test,log
8, 6.2293e-01,test,log
9, 4.7286e-01,test,log
10, 5.8823e-01,test,log
11, 5.6451e-01,test,log
12, 6.4477e-01,test,log
13, 6.2711e-01,test,log
14, 6.3379e-01,test,log
15, 5.9740e-01,test,log
16, 6.0410e-01,test,log
17, 6.7073e-01,test,log
18, 6.5009e-01,test,log
19, 6.5017e-01,test,log
20, 6.4341e-01,test,log
21, 6.2041e-01,test,log
22, 6.3600e-01,test,log
23, 6.3384e-01,test,log
24, 6.7752e-01,test,log
25, 6.4067e-01,test,log
26, 6.6009e-01,test,log
27, 6.3331e-01,test,log
28, 5.9221e-01,test,log
29, 6.2889e-01,test,log
30, 6.3539e-01,test,log
31, 6.3141e-01,test,log
32, 5.8815e-01,test,log
33, 6.4162e-01,test,log
34, 6.3183e-01,test,log
35, 6.0944e-01,test,log
36, 6.7458e-01,test,log
37, 6.1489e-01,test,log
38, 6.2924e-01,test,log
39, 6.5963e-01,test,log
40, 6.2926e-01,test,log
41, 6.4203e-01,test,log
42, 6.3211e-01,test,log
43, 6.5131e-01,test,log
44, 6.5491e-01,test,log
45, 6.5993e-01,test,log
46, 6.6305e-01,test,log
47, 6.2865e-01,test,log
48, 6.4335e-01,test,log
49, 6.4734e-01,test,log
50, 6.3642e-01,test,log
51, 6.5247e-01,test,log
52, 6.2456e-01,test,log
53, 6.4433e-01,test,log
54, 6.4795e-01,test,log
55, 6.6117e-01,test,log
56, 6.5060e-01,test,log
57, 6.4446e-01,test,log
58, 6.1997e-01,test,log
59, 6.4957e-01,test,log
60, 6.1164e-01,test,log
61, 6.4370e-01,test,log
62, 6.3143e-01,test,log
63, 6.6508e-01,test,log
64, 6.4900e-01,test,log
65, 6.3824e-01,test,log
66, 5.8876e-01,test,log
67, 6.4206e-01,test,log
68, 6.6464e-01,test,log
69, 6.5820e-01,test,log
70, 6.4848e-01,test,log
71, 6.4819e-01,test,log
72, 6.5338e-01,test,log
73, 6.4800e-01,test,log
74, 6.5745e-01,test,log
75, 6.3097e-01,test,log
76, 6.5350e-01,test,log
77, 6.6573e-01,test,log
78, 6.4680e-01,test,log
79, 6.6496e-01,test,log
80, 6.3811e-01,test,log
81, 6.4713e-01,test,log
82, 6.4390e-01,test,log
83, 6.5396e-01,test,log
84, 6.5584e-01,test,log
85, 6.6279e-01,test,log
86, 6.6450e-01,test,log
87, 6.5024e-01,test,log
88, 6.8131e-01,test,log
89, 6.6916e-01,test,log
90, 6.6906e-01,test,log
91, 6.4634e-01,test,log
92, 6.4320e-01,test,log
93, 6.5745e-01,test,log
94, 6.7951e-01,test,log
95, 6.6205e-01,test,log
96, 6.5668e-01,test,log
97, 6.4426e-01,test,log
98, 6.6614e-01,test,log
99, 6.7524e-01,test,log
100, 6.6641e-01,test,log
